Id,ele,slope,spi,tri,twi,plc,prc,CS_perc,litho_13,litho_14,litho_15,litho_16,litho_18,litho_19,litho_22,litho_23,litho_24,litho_25,uso_1,uso_2,uso_3,uso_4,uso_5,uso_6,asp_N,asp_NE,asp_E,asp_SE,asp_S,asp_SW,asp_W,asp_NW
391,257.5971069,13.64530277,559.9260254,1.53843236,5.079760075,0.004583751,0.000971154,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10299,288.4277344,19.15750885,349.8790588,2.198974133,8.148543358,-0.002444388,0.000972751,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1809,272.9924316,24.40893364,-265.1481323,2.873416185,12.61153793,0.003049921,0.000973765,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
522,352.7156982,23.61284256,-9815.150391,2.765324116,13.12236309,-0.000373869,0.000976616,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
10016,358.546814,23.02171135,666.9477539,2.689208031,5.480217457,-0.002060299,0.000985372,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10164,287.7589417,26.58450317,5852.853027,3.165916681,4.427476406,0.000715672,0.000986173,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1499,294.8508606,25.49330139,226.2255096,3.017787218,7.372326851,0.001560068,0.00099007,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
643,275.0971985,26.37831688,889.6968384,3.138465405,4.61668396,-0.005775632,0.000991353,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10806,326.6283875,16.13909531,91.99837494,1.857550025,6.074863911,0.008897237,0.000993117,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
417,317.2849426,28.56373024,327.5310669,3.444847822,8.214548111,-0.003303489,0.00099357,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
